created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-31 22:02:37,suchetanaKghosh,#Texas #Flood due to #HurricaneHarvey is already punishing people and the new reports of… https://t.co/IrNHDOaIl8 https://t.co/f0L4w7offA,,,"Hyderabad, India",HurricaneHarvey,"[39.225013,-90.9220472]"
2017-08-31 22:02:15,newswalletapp,Texas chemical plant poised to explode amid Harvey flood... https://t.co/CCu6JnIRRA,,,India,Texas| Harvey,"[31.9685988,-99.9018131][29.9035387,-90.0772944]"
2017-08-31 22:01:18,msai_india,"#MumbaiRains
As the floodwaters recede, here's a heads up on Leptospirosis – a disease to beware of after the flood… https://t.co/bGGPRFbbrV",,,India,Leptospirosis,"[19.461882, 72.777658]"
2017-08-31 22:01:08,newswalletapp,Houston flood: Two explosions reported at Texas chemical plant... https://t.co/C9heXIKxy7,,,India,Houston| Texas,"[29.7604267,-95.3698028][31.9685988,-99.9018131]"
2017-08-31 22:00:19,NewsUkhand,UP flood toll touches 104; one killed in landslide in Uttarakhand - The New Indian Express https://t.co/DOJe1JPTQ4,,,India,Uttarakhand| New Indian Express,"[30.066753,79.0192997][9.992691,76.290334]"
2017-08-31 22:00:07,TheSiasatDaily,"#Google Announces $1 Million #FloodRelief In #India, #Nepal &amp; #Bangladesh - @TheSiasatDaily https://t.co/FiqE7e3p2Q https://t.co/yoaGFwoeYT",,,"Hyderabad, India",Google Announces| Bangladesh,"[][23.684994,90.356331]"
2017-08-31 21:58:28,rajesinj386,"RT @CNNnews18: Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/XviOeNqfhg",,,South to North Pole,RT| India| Nepal| Bangladesh,"[20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 21:53:14,ishtkam,"Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/YpeOOJsBbV",,,"New Delhi, India",Google| India| Nepal| Bangladesh,"[40.7406375,-74.0020388][20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 21:51:10,VaishnawiSakshi,RT @ndmaindia: #Floods: It is dangerous to swim/walk through flood waters. https://t.co/4dIGwPpNm7,,,India,RT,
2017-08-31 21:50:30,nehru48951564,tremendous flood will be order of the day with nitsh modi trump stopping way for christ return.,,"[[[72.958588, 18.986727], [73.113183, 18.986727], [73.113183, 19.206734], [72.958588, 19.206734]]]","New Delhi, India",,[]
2017-08-31 21:49:23,divyang_shanu,"RT @divyang_shanu: #Help
18districts of BIHAR r afctd by flood
&amp;approx 400died
&amp;No1 is hr 2 hlp us out
Cme frwrd bolywd
@akshaykumar 
@iams…",,,India,RT| BIHAR,"[25.0960742,85.3131194]"
2017-08-31 21:49:14,divyang_shanu,"#Help
18districts of BIHAR r afctd by flood
&amp;approx 400died
&amp;No1 is hr 2 hlp us out
Cme frwrd bolywd
@akshaykumar 
@iamsrk 
@BeingSalmanKhan",,,India,BIHAR,"[25.0960742,85.3131194]"
2017-08-31 21:48:52,NewsUkhand,Uttar Pradesh Flood Toll Hits 104; 1 Killed in Uttarakhand Landslide https://t.co/FSmhMP1Faw,,,India,Uttar Pradesh Flood Toll| Uttarakhand Landslide,"[][30.8365877, 78.4919997]"
2017-08-31 21:42:40,TOIBusiness,Cash flowing again from Fed's flood-threatened Houston branch https://t.co/PSnjQQlvIG,,,"New Delhi, India",Cash| Fed| Houston,"[][40.7083663,-74.008653][29.7604267,-95.3698028]"
2017-08-31 21:42:34,NewsNationTV,"Fears over chemical plant in #Texas after #HoustonFlood eases
https://t.co/wNdCVd7Xsc",,,"Noida, India",HoustonFlood,"[29.8055453,-95.4524662]"
2017-08-31 21:42:22,mohitvarma007,"""Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/PfrkSQelaY""",,,New Delhi,India| Nepal| Bangladesh,"[20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 21:42:21,aksh_ay360,mashable : Before and after photos show Harvey's devastation from space https://t.co/N3AA9leV0v (via Twitter… https://t.co/GQl3wG6hqu,,,"Mumbai, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:41:43,CabipoolMUM,RT @MahatvAakanksha: Mumbai police just didn't help ppl stuck in flood but they also help you when stuck in traffic or rickshawles situatn…,,,"Mumbai, India",RT,
2017-08-31 21:41:40,jefe_viejo,"flood advisory for... 
  north central San Bernardino County 
  south central Clark County in NV until 530 PM PDT https://t.co/QqmHTsne4I",,,run,San Bernardino County| Clark County,"[34.9592083, -116.419389][36.0795613, -115.094045]"
2017-08-31 21:40:30,mobsolnIN,"Before and after photos show Harvey's devastation from space https://t.co/UIsjaiYr9r

— Mashable (@mashable) August 31, 2017 - mob-sol'n",,,India,Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:40:00,cshikhardua,"RT @CNNnews18: Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/XviOeNqfhg",,,"California, USA",RT| India| Nepal| Bangladesh,"[20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 21:39:54,Thekitabwala,US President Donald Trump To Donate $1 Million To Flood Relief: White House https://t.co/A6dzX3ufih,,,"Kanpur, India",US| Donald Trump To Donate| Flood Relief,"[37.09024,-95.712891][33.7823528, -118.1636293][42.0288918,-88.2585412]"
2017-08-31 21:39:26,Thekitabwala,US President Donald Trump To Donate $1 Million To Flood Relief: White House https://t.co/71mIL5kYRV,,,"Kanpur, India",US| Donald Trump To Donate| Flood Relief,"[37.09024,-95.712891][33.7823528, -118.1636293][42.0288918,-88.2585412]"
2017-08-31 21:36:46,animalonly,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,,RT| China,"[35.86166,104.195397]"
2017-08-31 21:36:16,AnandDhdn,RT @ndmaindia: #Floods: It is dangerous to swim/walk through flood waters. https://t.co/4dIGwPpNm7,,,"Dehradun, India",RT,
2017-08-31 21:35:56,weusedtobehuman,Before and after photos show Harvey's devastation from space https://t.co/NQpYkq8148 https://t.co/3Ov6xzuoC5,,,"Delhi, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:35:42,YaGurlCatie,"*Tragedy happens* example: Christina grimmie, Texas flood @Onision : where's God he's not proving himself?!? 🙄ignorant",,,IN,#,
2017-08-31 21:33:10,akshaychandorka,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,,RT| China,"[35.86166,104.195397]"
2017-08-31 21:33:09,MahatvAakanksha,Mumbai police just didn't help ppl stuck in flood but they also help you when stuck in traffic or rickshawles situatn #MumbaiPoliceZindabad,,,mumbai,Mumbai,"[19.0759837,72.8776559]"
2017-08-31 21:30:00,CNNnews18,"Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/XviOeNqfhg",,,India,Google| India| Nepal| Bangladesh,"[40.7406375,-74.0020388][20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 21:30:00,ndmaindia,#Floods: It is dangerous to swim/walk through flood waters. https://t.co/4dIGwPpNm7,,,New Delhi-110029,,[]
2017-08-31 21:25:59,IndyK58,Mexico relatives of family killed in Houston flood are unable to get permission to cross border https://t.co/euJT7xeyVy,,,IN,Mexico| Houston,"[23.634501, -102.552784][29.7604267,-95.3698028]"
2017-08-31 21:25:00,JamiTauer,RT @JazzTheologian: Flood Relief for Sierra Leone and Texas: We are working on ways you can help out. More Info. this weekend @ColoradoCC,,,,RT| Sierra Leone| Texas| ColoradoCC,"[8.460555,-11.779889][31.9685988,-99.9018131][39.7263009,-104.8798614]"
2017-08-31 21:23:53,Radio_Fischbude,"RT @gettleman: Tho Houston flood is getting more attention, flooding in India, Nepal &amp; Bangladesh is SO much worse. 1,000 dead. https://t.c…",,,,#,
2017-08-31 21:19:52,plzunderstnd,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,"New Delhi, India",RT| China,"[35.86166,104.195397]"
2017-08-31 21:14:11,akshaysince1987,"RT @camohitbaheti: @Shehla_Rashid RSS people brutally murdering flood affected innocent people

https://t.co/XxlN5AvJCD https://t.co/YQGQZ6…",,,,RT,
2017-08-31 21:13:50,Thekitabwala,AP Explains: Harvey shines light on flood insurance program https://t.co/jf5AxH1T3c,,,"Kanpur, India",AP,"[0.9019925,-52.0029565]"
2017-08-31 21:10:32,rumanmahmudbd,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/dWRnBy7FUt,,,"Dhaka, Bangladesh",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:10:27,manishr0ckz,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/MsHMNmKOQx,,,"Maharashtra, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:08:14,Mahadihossainu,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/6YZuGQ8KRk,,,Bangladesh,Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:07:23,abdeshmukh,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,Earth,RT| China,"[35.86166,104.195397]"
2017-08-31 21:07:15,GrcSrg,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/0sXLgTeSQU,,,"pune, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:06:01,AzamKhan85,RT @xahirshah: Captions and credits in the Picture  #Torrential #rain #Karachi #Pakistan #Flood https://t.co/ldgvtGMM5z,,,"Karachi, Pakistan",RT| Picture,"[34.85962, -80.718378]"
2017-08-31 21:04:23,BenzTheAffable,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/JUSvjBee12 https://t.co/mxkAZu7fEf,,,"Hyderabad, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:04:23,ideepakmathur,Before and after photos: Harvey's devastating floods are clearly visible from space https://t.co/cVIBHKHEUQ https://t.co/TvgVHOTNq0,,,"Ahmadabad, Gujarat, India",Harvey,"[29.9035387,-90.0772944]"
2017-08-31 21:03:41,Dushi9890,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,"Bengaluru, India",RT| China,"[35.86166,104.195397]"
2017-08-31 21:02:41,FrenchPivoine,"RT @atuleshjha: @guardian In case you guys are interested, we in India too are facing severe flood in over 5 states this monsoon and over 1…",,,,RT| India,"[20.593684,78.96288]"
2017-08-31 21:00:56,SaurabhMpdv,US President Donald Trump To Donate $1 Million To Flood Relief https://t.co/dXVG0kBiHC,,,India,US| Donald Trump To Donate| Flood Relief,"[37.09024,-95.712891][33.7823528, -118.1636293][42.0288918,-88.2585412]"
